,code,name
81,3200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri"
82,3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai"
83,3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh
84,3203,"Atharva College of Engineering,Malad(West),Mumbai"
85,3204,"St. Francis Institute of Technology,Borivali, Mumbai"
86,3206,"S.S.P.M.'s College of Engineering, Kankavli"
87,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel"
88,3208,"Don Bosco Institute of Technology, Mumbai"
89,3209,K J Somaiya Institute of Technology
90,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
91,3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
92,3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR"
93,3214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai"
94,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai"
95,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
96,3217,"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"
97,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"
98,3219,"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur"
99,3220,Yadavrao Tasgaonkar College of Engineering & Management
100,3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
101,3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"
102,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad"
103,3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat"
104,3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly"
105,3351,"Bharat College of Engineering, Kanhor, Badlapur(W)"
106,3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai"
107,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai"
108,3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath."
109,3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
110,3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
111,3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research"
112,3447,"G.M.Vedak Institute of Technology, Tala, Raigad."
113,3460,"Universal College of Engineering,Kaman Dist. Palghar"
114,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri."
115,3465,"Ideal Institute of Technology, Wada, Dist.Thane"
116,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad"
117,3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY
118,3471,"New Horizon Institute of Technology & Management, Thane"
119,3475,"A. P. Shah Institute of Technology, Thane"
120,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
121,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan"
122,4004,"Government College of Engineering, Chandrapur"
123,4005,"Laxminarayan Institute of Technology, Nagpur"
124,4025,"Government College of Engineering, Nagpur"
125,4104,"Kavi Kulguru Institute of Technology & Science, Ramtek"
126,4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur"
127,4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur"
128,4118,"Bapurao Deshmukh College of Engineering, Sevagram"
129,4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur"
130,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"
131,4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur"
132,4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur"
133,4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur"
134,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
135,4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur"
136,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
137,4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
138,4142,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"
139,4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara"
140,4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
141,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur"
142,4147,"K.D.K. College of Engineering, Nagpur"
143,4151,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur"
144,4163,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur
145,4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur"
146,4172,"Anjuman College of Engineering & Technology, Nagpur"
147,4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur"
148,4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha"
149,4177,"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur"
150,4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur"
151,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
152,4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati"
153,4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur"
154,4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
155,4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
156,4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)"
157,4285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur"
158,4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"
159,4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
160,4613,"Suryodaya College of Engineering & Technology, Nagpur"
161,4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha"
162,4649,"Bajaj Institute of Technology, Wardha"
163,4679,"Karanjekar College of Engineering & Management, Sakoli"
164,5003,"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon"
165,5004,"Government College of Engineering, Jalgaon"
166,5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule"
167,5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon"
168,5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon"
169,5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik"
170,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
171,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik"
172,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"
173,5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
174,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik"
175,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
176,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
177,5152,"G H Raisoni Institute of Engineering and Business Management, Jalgaon"
178,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon"
179,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar"
180,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner"
181,5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar"
182,5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"
